Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Pesticide_Use_KG_per_HA;Fertilizer_Use_KG_per_HA;Soil_Health_Index;Adaptation_Strategies;Economic_Impact_Million_USD
2020;China;East;Corn;28.77;2325.9;2.17;2.59;6;16.25;21.73;43.42;84.32;No Adaptation;743.61
2024;China;South;Sugarcane;12.93;2255.76;0.75;1.8;0;93.8;31.22;27.39;30.82;Water Management;860.08
2014;China;Central;Vegetables;10.46;2258.66;18.85;4.239;0;85.9;24.35;3.12;87.99;Drought-resistant Crops;1108.72
2016;Australia;Victoria;Rice;-0.63;654.94;24.22;2.2680000000000002;10;40.06;35.43;57.96;84.3;Water Management;822.52
2018;USA;West;Corn;-4.23;2567.13;4.75;2.45;9;87.43;49.62;92.58;39.06;No Adaptation;958.92
2022;Australia;Queensland;Barley;-0.92;1116.5;25.1;1.503;6;13.0;32.41;88.55;89.67;Water Management;385.69
2014;China;South;Soybeans;15.72;630.0;17.63;2.763;3;64.95;15.85;11.26;44.27;Organic Farming;586.62
2018;USA;West;Barley;-1.16;2451.74;5.08;2.82;1;18.96;12.22;46.41;47.97;Water Management;802.56
2022;Brazil;Southeast;Cotton;20.8;624.62;20.82;846;7;58.5;0.95;36.7;90.59;Drought-resistant Crops;198.1
2020;China;South;Wheat;29.61;1339.14;10.59;1.24;10;20.92;9.33;33.39;78.61;Crop Rotation;502.58
2018;Brazil;Southeast;Wheat;19.28;1523.97;8.97;4.51;7;65.26;0.49;70.15;57.32;Drought-resistant Crops;1029.75
2016;Nigeria;South West;Cotton;30.66;454.67;5.56;1.7189999999999999;7;53.88;35.67;25.38;95.48;Water Management;220.37
2016;USA;Northeast;Corn;19.8;2490.2;18.95;2.979;10;40.17;36.17;50.09;63.38;Organic Farming;487.17
2018;USA;Midwest;Coffee;26.25;360.55;29.96;3.231;3;69.05;1.53;57.64;88.37;Organic Farming;430.92
2024;Nigeria;South West;Soybeans;4.81;1181.35;7.45;1.47;7;61.16;39.4;53.95;91.52;Crop Rotation;559.15
2020;Australia;Victoria;Corn;27.35;1548.83;12.11;3.71;10;34.18;35.41;73.31;41.5;No Adaptation;902.24
2024;Nigeria;North Central;Coffee;33.29;270.64;22.62;2.007;0;80.32;20.78;71.01;34.12;Drought-resistant Crops;638.1
2018;China;North;Barley;32.65;1442.84;23.27;2.178;5;88.35;21.14;74.78;56.88;No Adaptation;768.23
2020;Nigeria;South West;Rice;16.07;715.09;10.96;3.76;0;96.32;27.56;60.93;31.23;Organic Farming;815.75
2018;Nigeria;North Central;Vegetables;-2.34;2716.87;23.37;1.593;6;22.09;41.06;8.44;99.04;Drought-resistant Crops;555.35
2016;Brazil;Northeast;Coffee;13.53;567.28;23.93;2.835;8;35.78;0.57;34.83;94.03;Drought-resistant Crops;882.91
2018;USA;South;Wheat;-3.22;1921.47;21.6;0.5760000000000001;1;40.67;39.54;84.81;96.01;Drought-resistant Crops;179.05
2024;USA;West;Rice;25.67;773.74;29.98;1.125;2;34.77;9.58;93.88;62.16;Organic Farming;470.33
2024;Brazil;South;Cotton;25.91;1303.35;1.04;1.67;3;75.5;40.17;12.31;70.61;Water Management;545.46
2018;USA;West;Barley;6.67;351.15;23.86;1.755;5;64.35;21.99;57.25;64.28;No Adaptation;782.37
2014;Russia;Volga;Wheat;-0.7;1678.68;16.83;1.278;3;97.43;11.77;11.87;69.37;Crop Rotation;389.34
2022;Brazil;Northeast;Wheat;32.12;1338.2;12.39;1.39;9;47.74;8.23;83.55;60.86;Drought-resistant Crops;439.08
2018;China;South;Coffee;7.51;2227.69;25.8;1.692;0;25.65;10.19;41.97;98.87;No Adaptation;496.9
2024;Australia;New South Wales;Coffee;12.4;1361.3;22.13;4.221;5;38.46;47.81;83.4;78.13;Organic Farming;1101.8
2022;Australia;Queensland;Cotton;6.18;1628.27;19.25;1.179;1;71.84;12.92;19.6;95.57;Drought-resistant Crops;475.27
2016;Nigeria;North Central;Wheat;6.05;208.78;14.9;1.9800000000000002;5;92.85;23.11;55.13;57.32;No Adaptation;444.11
2018;Brazil;South;Cotton;5.94;475.21;19.22;1.089;9;74.53;23.82;79.97;88.86;Water Management;376.02
2014;Australia;Queensland;Fruits;14.79;889.31;26.23;4.4910000000000005;5;10.31;10.56;46.5;37.14;Drought-resistant Crops;1353.64
2018;China;South;Vegetables;2.12;2989.0;3.46;1.13;4;56.0;5.04;37.71;55.72;Organic Farming;515.6
2020;China;South;Wheat;33.11;1377.47;13.2;3.74;1;23.26;30.57;13.09;78.3;Water Management;1545.34
2018;China;North;Barley;6.76;2881.59;28.34;1.413;0;64.35;5.71;65.34;49.53;Crop Rotation;292.3
2022;Brazil;South;Vegetables;10.9;1740.9;7.38;1.59;8;78.03;41.8;55.89;56.1;Drought-resistant Crops;673.51
2016;USA;Northeast;Corn;7.41;2444.61;13.23;2.1;6;40.81;2.81;51.51;43.97;No Adaptation;1018.73
2022;Australia;Victoria;Sugarcane;8.6;1050.44;2.35;0.95;5;50.79;32.26;18.88;95.06;Drought-resistant Crops;395.72
2022;Russia;Volga;Sugarcane;7.9;232.98;10.67;1.917;7;84.53;37.18;30.68;40.32;Crop Rotation;283.16
2016;China;Central;Vegetables;18.7;2879.65;6.66;3.18;7;22.01;14.39;23.93;66.19;Drought-resistant Crops;1564.87
2020;Brazil;Northeast;Soybeans;16.97;661.69;10.08;2.68;3;29.33;10.57;56.17;97.0;Crop Rotation;649.67
2018;China;North;Rice;28.73;1863.52;2.35;3.26;4;10.4;39.18;75.9;67.6;Organic Farming;1092.02
2016;Nigeria;North Central;Fruits;19.07;510.96;28.95;2.718;9;33.78;17.75;75.59;88.99;Drought-resistant Crops;1084.08
2020;Australia;Western Australia;Sugarcane;9.3;1251.05;5.38;1.63;4;47.47;45.07;67.44;46.62;Crop Rotation;240.99
2024;Nigeria;North West;Rice;11.7;1263.96;29.57;3.618;5;13.68;18.33;68.81;92.02;Organic Farming;767.86
2016;USA;South;Sugarcane;0.46;621.5;27.93;675;8;84.35;16.95;45.16;39.18;Organic Farming;155.23
2014;Australia;New South Wales;Coffee;20.42;2709.29;5.84;2.19;1;82.67;12.95;77.19;91.78;No Adaptation;551.97
2022;Russia;Siberian;Sugarcane;8.51;2897.17;24.17;2.421;3;13.16;10.58;39.91;96.61;Crop Rotation;489.98
2020;Australia;Western Australia;Wheat;9.39;269.13;16.61;2.088;9;87.16;0.69;53.8;43.76;Organic Farming;434.99
2014;China;East;Barley;20.73;1235.22;12.47;3.56;8;28.74;45.37;1.79;86.0;Drought-resistant Crops;995.15
2022;Russia;Volga;Sugarcane;-1.58;2641.56;20.74;1.845;0;32.23;12.6;95.88;50.55;No Adaptation;329.94
2014;Nigeria;North West;Vegetables;32.65;1420.41;15.3;1.818;4;31.44;32.82;59.21;49.31;Organic Farming;345.35
2020;China;North;Cotton;33.19;1335.03;19.13;3.3120000000000003;2;34.96;23.67;92.53;38.1;Water Management;428.51
2018;USA;Midwest;Vegetables;3.3;1356.09;17.01;2.6550000000000002;9;51.09;39.83;82.38;94.35;Organic Farming;381.14
2022;Russia;Northwestern;Vegetables;16.34;2368.74;23.65;2.2230000000000003;7;86.53;5.26;35.73;50.8;No Adaptation;333.12
2020;China;East;Corn;-0.12;1114.37;19.95;2.682;5;11.51;34.75;58.06;36.1;No Adaptation;551.41
2014;Australia;New South Wales;Corn;-1.3;453.86;19.89;1.4849999999999999;6;38.75;13.2;92.26;68.37;Crop Rotation;222.59
2018;Russia;Volga;Wheat;30.57;758.43;15.42;1.1700000000000002;1;60.55;34.24;52.18;74.46;No Adaptation;419.39
2022;Australia;Queensland;Barley;22.09;470.23;7.8;2.475;5;95.66;5.88;87.95;85.5;Crop Rotation;338.72
2020;Brazil;North;Soybeans;30.11;1140.49;22.08;2.178;8;43.12;13.39;2.28;84.94;No Adaptation;261.3
2018;China;North;Rice;10.76;1866.03;15.11;4.257000000000001;9;80.63;48.14;71.58;59.48;Drought-resistant Crops;1801.88
2016;Brazil;Northeast;Wheat;15.29;2946.42;23.95;3.8970000000000002;8;83.43;42.16;4.51;52.25;Crop Rotation;1665.61
2016;Brazil;South;Sugarcane;31.06;1720.53;21.85;3.168;1;50.46;21.03;77.71;78.14;Water Management;1333.04
2022;Australia;Queensland;Coffee;7.57;1434.04;14.23;2.76;1;81.95;4.28;24.21;91.99;No Adaptation;854.24
2022;Russia;Siberian;Rice;21.84;2819.06;5.28;3.3;3;20.25;1.11;71.35;62.54;Water Management;388.5
2016;China;Central;Fruits;29.18;1773.76;28.43;3.213;8;72.87;14.01;16.04;81.13;No Adaptation;916.43
2022;Brazil;North;Sugarcane;9.38;2371.32;10.87;1.18;1;27.28;49.34;77.35;35.48;Water Management;480.74
2022;Russia;Siberian;Fruits;-0.79;924.79;3.12;2.98;1;91.21;28.48;99.61;50.27;Water Management;784.71
2022;Nigeria;South West;Fruits;29.74;2022.06;26.58;1.0080000000000002;9;68.05;49.7;46.68;44.76;Water Management;196.85
2022;USA;Midwest;Sugarcane;4.56;1862.42;19.91;1.323;7;44.88;24.33;58.66;77.52;Organic Farming;151.61
2016;Brazil;North;Corn;22.9;1965.91;3.65;2.1;2;98.95;12.97;95.71;86.05;Drought-resistant Crops;616.7
2016;China;South;Barley;10.5;2355.44;15.83;2.2230000000000003;5;44.76;13.07;96.34;78.72;No Adaptation;696.73
2024;USA;Midwest;Barley;33.91;2338.1;17.98;1.62;8;39.33;29.23;0.48;96.36;No Adaptation;169.14
2020;USA;South;Corn;4.6;2099.06;6.35;2.35;5;93.8;12.89;32.93;53.04;Organic Farming;1075.83
2016;Nigeria;South East;Rice;34.19;2793.2;21.63;1.1700000000000002;9;71.29;5.91;3.14;75.43;Drought-resistant Crops;515.33
2014;China;East;Barley;8.99;964.52;23.04;2.619;4;26.6;4.81;82.24;85.82;No Adaptation;459.35
2020;Australia;Victoria;Cotton;34.1;2337.11;21.93;0.9900000000000001;10;88.27;34.12;36.35;50.86;Drought-resistant Crops;398.14
2016;Australia;Victoria;Rice;-0.38;838.74;29.14;873;8;74.46;0.94;56.59;41.75;No Adaptation;356.24
2014;Russia;Northwestern;Coffee;15.12;2665.75;8.19;4.04;5;65.94;44.24;18.96;95.47;Crop Rotation;1225.86
2022;Brazil;Southeast;Vegetables;27.33;2339.12;21.89;2.052;8;72.88;31.54;3.9;72.41;Drought-resistant Crops;460.28
2016;Nigeria;North West;Coffee;30.84;2075.65;3.55;2.15;0;52.87;31.33;0.25;78.15;Water Management;960.11
2024;USA;West;Soybeans;-1.57;563.25;2.93;1.64;2;84.63;1.97;64.38;88.14;Drought-resistant Crops;601.7
2024;Brazil;Southeast;Corn;9.13;2828.07;28.18;2.259;1;52.18;46.61;38.62;36.15;No Adaptation;779.8
2022;Nigeria;South East;Coffee;11.49;2156.23;0.89;3.41;0;70.38;25.93;74.0;47.84;Water Management;1214.59
2024;Brazil;Southeast;Coffee;2.64;1141.42;22.02;2.61;9;77.38;38.3;77.23;70.81;Water Management;444.6
2022;Nigeria;South West;Corn;20.5;859.04;2.83;3.17;9;22.21;0.38;25.48;45.03;No Adaptation;1421.93
2014;Brazil;Northeast;Sugarcane;-0.51;560.9;13.42;1.47;1;42.42;1.41;87.46;74.15;Crop Rotation;678.22
2018;Brazil;North;Wheat;15.84;2776.81;19.46;2.61;4;68.93;5.61;3.07;85.35;Water Management;491.63
2014;Nigeria;North West;Wheat;30.28;1966.01;8.2;0.91;9;82.19;21.41;17.63;99.02;Water Management;201.11
2022;USA;Northeast;Cotton;33.96;2815.2;26.48;1.7369999999999999;5;10.78;19.44;70.34;34.88;Crop Rotation;270.19
2022;USA;Northeast;Vegetables;1.74;2269.11;10.92;2.09;10;45.51;32.5;93.69;60.17;No Adaptation;938.56
2016;Australia;New South Wales;Rice;2.23;248.98;2.36;2.2769999999999997;8;54.89;48.45;57.7;67.94;Crop Rotation;350.64
2014;Nigeria;South East;Wheat;34.32;1617.77;3.92;2.45;0;53.6;43.47;89.7;45.96;Drought-resistant Crops;656.75
2024;Nigeria;North Central;Sugarcane;9.5;1127.1;28.92;1.683;1;65.48;35.95;44.24;90.25;Crop Rotation;592.65
2022;USA;Midwest;Coffee;18.26;2085.71;25.77;2.358;2;14.25;25.53;32.7;53.87;Water Management;941.94
2014;China;North;Wheat;11.1;1382.84;11.09;4.27;5;94.46;37.3;90.54;55.34;Water Management;1911.87
2018;China;North;Cotton;30.09;601.55;23.6;3.222;1;39.13;34.94;22.7;46.82;Drought-resistant Crops;534.23
2018;Russia;Volga;Wheat;0.09;2445.31;4.62;2.92;5;89.43;19.78;46.69;52.39;Drought-resistant Crops;872.38
2022;Australia;Victoria;Corn;19.79;615.16;9.76;2.72;7;92.78;18.25;77.92;63.97;Drought-resistant Crops;594.92
2014;China;North;Cotton;10.57;1691.1;1.14;1.71;5;97.42;25.94;77.57;93.38;No Adaptation;451.01
2024;Russia;Siberian;Cotton;14.89;1049.9;9.83;2.03;2;11.94;29.62;62.87;58.36;Crop Rotation;797.89
2014;China;Central;Cotton;22.24;1798.42;8.97;1.26;5;52.31;10.42;74.96;68.76;Drought-resistant Crops;561.35
2018;USA;Northeast;Fruits;25.24;1204.01;23.54;2.061;1;68.73;24.5;19.42;64.08;Crop Rotation;593.96
2020;Nigeria;North Central;Soybeans;4.19;2331.02;7.34;2.99;7;97.55;36.88;27.19;72.45;Water Management;1211.26
2016;Nigeria;North West;Cotton;12.98;2187.21;8.65;3.9;10;54.6;36.25;58.41;90.75;Water Management;693.28
2020;Nigeria;North West;Sugarcane;23.48;2463.5;7.39;3.79;2;63.3;17.77;39.72;93.44;Crop Rotation;1647.67
2024;Russia;Volga;Corn;10.95;1721.28;23.43;2.4480000000000004;0;14.98;23.82;86.26;49.43;Water Management;952.68
2018;Brazil;North;Sugarcane;11.09;1825.72;5.54;1.69;3;48.17;19.18;19.15;32.09;Organic Farming;279.58
2018;Russia;Volga;Wheat;32.29;864.92;0.55;0.85;1;57.39;22.96;44.63;75.49;Crop Rotation;380.04
2022;Russia;Northwestern;Fruits;30.16;445.03;19.58;846;8;87.9;34.73;20.78;79.4;Crop Rotation;306.82
2018;Russia;Volga;Wheat;20.11;444.7;4.74;3.5370000000000004;2;91.04;16.73;31.8;30.74;No Adaptation;463.21
2014;Russia;Volga;Vegetables;11.22;2294.25;18.85;2.3760000000000003;2;52.43;16.75;5.78;83.34;No Adaptation;1186.75
2016;Russia;Siberian;Corn;5.8;548.88;19.58;2.331;10;46.61;9.74;25.98;69.35;Drought-resistant Crops;379.98
2016;Brazil;Southeast;Vegetables;34.54;960.55;8.52;3.75;0;63.52;3.48;97.74;44.74;Drought-resistant Crops;1529.03
2020;Nigeria;South East;Coffee;13.06;1485.09;12.4;3.58;9;46.14;9.89;71.67;68.9;No Adaptation;947.63
2024;Russia;Central;Vegetables;2.61;1225.36;29.97;2.403;9;11.92;37.83;55.32;56.46;Water Management;819.95
2020;China;South;Rice;1.86;2781.32;14.89;1.35;1;92.69;25.68;97.25;44.34;Water Management;626.74
2018;USA;Midwest;Coffee;22.94;2170.87;3.47;2.16;9;69.04;1.55;2.55;78.25;Organic Farming;716.41
2016;Nigeria;South West;Rice;13.75;1601.06;28.44;3.159;8;49.59;32.07;62.38;97.83;Drought-resistant Crops;1254.88
2016;Brazil;North;Soybeans;15.57;2294.5;26.55;2.9970000000000003;9;67.06;31.83;27.18;83.32;Water Management;1294.73
2016;Nigeria;South West;Fruits;3.72;2094.77;15.15;1.854;0;28.99;16.69;21.51;48.25;Crop Rotation;410.1
2020;USA;Midwest;Cotton;34.46;2569.18;24.14;1.278;8;65.59;33.08;53.22;52.94;Water Management;540.15
2016;China;Central;Fruits;14.49;1612.28;15.7;1.899;7;15.9;30.68;27.87;47.66;No Adaptation;525.76
2024;Russia;Siberian;Coffee;29.46;622.54;24.6;3.123;3;13.5;47.67;25.91;68.21;Crop Rotation;876.55
2016;Australia;New South Wales;Fruits;19.09;2395.8;29.02;4.284;9;32.23;16.78;23.81;59.9;Crop Rotation;1448.91
2014;Brazil;North;Rice;1.68;2840.06;16.42;1.845;7;57.57;44.25;73.97;52.98;Organic Farming;582.63
2024;China;South;Corn;12.21;702.98;22.23;3.447;4;92.34;22.63;1.71;77.89;No Adaptation;1513.48
2020;China;South;Sugarcane;28.51;263.07;29.05;1.809;6;15.68;14.19;3.08;97.36;No Adaptation;710.79
2020;Russia;Volga;Rice;30.16;2526.4;1.18;3.89;7;23.93;29.9;83.68;72.99;Water Management;1215.81
2016;Australia;Queensland;Barley;12.22;1522.18;15.1;2.619;5;15.54;17.42;86.28;93.55;Crop Rotation;1015.42
2024;USA;South;Corn;14.43;661.07;1.67;3.27;0;53.16;34.07;99.91;30.1;Organic Farming;1191.56
2024;Australia;Western Australia;Vegetables;15.09;308.49;21.46;3.9960000000000004;4;39.35;0.87;36.86;67.03;Organic Farming;605.92
2020;Russia;Central;Soybeans;16.82;2194.78;28.3;4.023;3;33.83;47.2;47.79;75.04;No Adaptation;1935.23
2020;Brazil;North;Coffee;9.52;1674.62;13.58;2.78;4;34.42;43.84;26.31;56.34;No Adaptation;995.97
2018;Nigeria;South East;Wheat;4.61;454.58;4.92;1.845;6;60.52;18.6;86.47;73.38;Crop Rotation;760.15
2014;Nigeria;South West;Barley;11.53;831.6;6.16;2.15;10;19.16;44.69;91.18;69.01;No Adaptation;363.37
2014;Brazil;North;Coffee;1.68;1643.44;4.25;0.57;1;98.08;38.58;78.29;71.42;Organic Farming;126.31
2014;Australia;Queensland;Cotton;15.07;2651.99;26.42;4.086;1;12.54;27.54;43.83;87.84;Organic Farming;1754.32
2022;Russia;Northwestern;Wheat;9.27;2693.18;11.8;1.03;0;53.81;43.08;87.12;75.0;No Adaptation;111.38
2020;USA;South;Sugarcane;14.17;272.87;20.75;2.718;2;31.15;21.87;84.75;95.27;Crop Rotation;292.14
2022;Russia;Volga;Sugarcane;16.24;2154.34;25.81;3.249;9;17.52;15.96;52.66;97.0;Organic Farming;1355.91
2024;Australia;Queensland;Sugarcane;8.99;2470.9;12.98;0.78;4;70.91;0.06;8.82;97.97;Drought-resistant Crops;145.12
2020;USA;Midwest;Vegetables;30.24;2682.37;25.69;0.9;5;77.18;43.62;91.7;93.14;No Adaptation;408.72
2022;USA;Northeast;Fruits;10.75;2797.92;7.91;4.07;4;31.55;1.73;41.72;44.84;Water Management;1055.74
2020;USA;South;Sugarcane;11.5;2303.03;18.31;1.9260000000000002;0;36.76;19.56;13.89;30.88;Water Management;374.87
2020;USA;Northeast;Wheat;28.96;1654.13;16.39;1.098;0;90.47;29.82;76.67;70.68;Crop Rotation;399.37
2022;China;South;Vegetables;34.5;2445.98;19.7;1.098;7;22.33;22.54;69.07;45.82;No Adaptation;117.98
2014;China;North;Rice;33.2;2140.85;0.89;2.86;7;14.14;0.24;83.81;37.98;Crop Rotation;983.05
2018;Brazil;North;Fruits;31.41;535.79;23.11;0.9990000000000001;4;18.33;32.51;87.92;38.37;Organic Farming;327.18
2024;USA;South;Sugarcane;5.04;2890.51;20.01;1.098;8;78.87;8.27;28.64;79.38;Water Management;373.87
2022;USA;Northeast;Vegetables;32.44;1377.79;25.37;3.33;3;72.8;48.66;6.76;81.7;Water Management;1189.99
2022;Nigeria;South West;Rice;12.91;1696.77;13.58;3.15;8;49.15;19.22;97.03;70.23;Drought-resistant Crops;988.95
2018;China;South;Vegetables;34.23;2278.45;8.67;3.47;1;52.8;13.38;16.64;60.69;Drought-resistant Crops;1311.56
2022;Russia;Northwestern;Corn;9.84;759.76;11.18;2.78;7;75.94;4.88;8.51;67.77;Organic Farming;315.07
2014;USA;South;Wheat;-2.26;575.24;21.95;1.539;0;29.2;7.65;70.85;69.74;Crop Rotation;159.69
2022;China;East;Corn;18.92;2323.13;12.74;3.49;6;36.0;23.9;43.32;37.53;Water Management;1030.55
2020;China;South;Barley;29.17;1647.43;1.22;2.02;4;56.96;18.56;51.44;90.27;No Adaptation;700.47
2014;China;North;Corn;21.44;1456.54;8.45;2.51;1;51.63;13.45;98.44;61.97;No Adaptation;584.17
2020;Brazil;North;Vegetables;15.14;840.16;13.43;2.97;2;86.98;40.17;32.73;97.75;Organic Farming;1355.09
2022;Nigeria;South East;Cotton;22.34;2404.9;5.07;1.53;2;25.19;19.79;3.86;73.43;Crop Rotation;417.33
2018;Australia;Victoria;Cotton;14.39;1733.81;19.65;3.0330000000000004;3;43.18;35.48;74.99;75.19;No Adaptation;756.0
2014;China;South;Corn;2.57;221.89;17.02;1.1880000000000002;6;95.06;45.62;85.13;98.59;No Adaptation;220.81
2014;Brazil;Northeast;Corn;-1.76;605.38;26.01;927;0;53.61;22.54;14.81;41.55;Water Management;416.79
2016;Nigeria;South West;Vegetables;1.78;1833.25;7.11;1.55;9;29.67;10.16;66.84;48.33;No Adaptation;690.74
2014;Australia;Victoria;Barley;11.57;1229.03;11.38;4.05;1;95.29;34.95;79.13;69.87;Water Management;897.76
2014;USA;Midwest;Coffee;25.93;2005.53;11.45;2.63;7;82.38;15.58;90.76;48.36;No Adaptation;412.97
2018;China;North;Soybeans;33.32;2869.17;20.22;3.375;2;98.52;31.9;39.04;74.56;Drought-resistant Crops;525.43
2020;Russia;Siberian;Soybeans;10.58;1862.59;10.77;1.68;2;99.26;7.16;13.72;99.0;Drought-resistant Crops;242.86
2016;Australia;Western Australia;Vegetables;23.13;2697.95;28.55;1.278;0;39.82;40.28;68.42;71.22;No Adaptation;195.51
2016;USA;South;Fruits;24.53;1213.66;19.5;1.602;3;13.4;45.31;52.76;45.83;No Adaptation;263.02
2022;Russia;Volga;Barley;16.82;1591.74;29.0;3.204;5;26.2;19.49;16.1;36.75;Crop Rotation;1139.24
2022;Russia;Volga;Rice;13.94;210.92;1.23;2.601;1;56.31;34.33;38.65;89.09;Water Management;813.48
2016;China;South;Coffee;25.81;1795.56;1.22;1.19;9;88.08;24.0;39.49;69.47;Organic Farming;591.07
2022;China;North;Cotton;32.88;1540.08;18.05;0.7200000000000001;1;40.79;29.77;64.15;58.89;Drought-resistant Crops;136.3
2020;Australia;Victoria;Vegetables;9.99;250.49;14.21;1.494;5;90.96;2.7;27.19;82.22;Drought-resistant Crops;361.2
2020;China;South;Soybeans;10.69;2402.17;22.18;2.9610000000000003;2;26.7;3.4;33.73;70.58;Water Management;1458.46
2022;Russia;Central;Fruits;13.85;1173.04;10.29;2.44;3;59.17;29.17;80.06;74.93;No Adaptation;355.49
2016;Nigeria;South West;Corn;2.16;1325.87;22.07;1.809;2;37.5;35.74;25.3;36.75;Crop Rotation;801.68
2020;China;Central;Fruits;6.74;2882.32;6.2;2.44;7;38.93;29.58;79.68;42.18;Drought-resistant Crops;566.27
2024;Russia;Central;Barley;31.82;1759.71;8.16;2.1;5;58.86;18.35;5.41;75.72;Crop Rotation;937.75
2016;Russia;Central;Wheat;20.35;2202.2;17.07;783;1;64.9;25.14;21.86;88.21;Water Management;153.38
2014;Russia;Volga;Sugarcane;9.06;2967.56;2.87;2.27;0;58.26;37.84;82.09;60.16;Organic Farming;377.08
2014;Nigeria;South East;Sugarcane;30.85;1586.81;17.07;1.125;3;55.98;3.5;52.13;98.8;Crop Rotation;318.66
2020;USA;South;Barley;8.62;2936.96;9.65;0.66;0;49.96;48.05;58.28;82.8;Drought-resistant Crops;190.17
2024;China;East;Coffee;0.15;657.2;10.25;2.15;1;78.47;14.32;85.04;50.69;Crop Rotation;698.84
2014;USA;Midwest;Barley;28.54;824.04;6.69;2.77;5;34.2;11.31;96.81;36.57;Crop Rotation;390.3
2024;Australia;Western Australia;Barley;16.26;964.35;24.91;2.034;10;75.19;25.96;84.81;31.55;Drought-resistant Crops;715.04
2018;China;North;Wheat;22.3;340.65;19.15;3.222;7;67.74;0.05;29.35;53.63;Crop Rotation;1514.26
2022;China;Central;Cotton;12.08;1990.89;16.18;2.466;2;47.47;33.22;17.13;98.13;Crop Rotation;771.92
2022;Nigeria;North Central;Cotton;0.98;2047.94;6.45;1.17;10;55.99;43.78;9.34;50.04;Organic Farming;482.66
2018;China;East;Corn;26.54;1847.23;6.02;0.96;6;90.49;41.95;76.37;45.3;No Adaptation;442.2
2024;Russia;Northwestern;Wheat;-0.29;1464.47;28.58;1.035;1;94.69;13.61;45.78;42.51;Water Management;191.53
2024;USA;South;Coffee;29.92;2613.78;9.76;0.96;2;84.68;47.46;66.98;74.3;Drought-resistant Crops;144.52
2020;Russia;Northwestern;Cotton;-0.96;1029.56;6.23;0.71;9;18.3;22.63;7.75;33.98;No Adaptation;71.79
2020;China;Central;Sugarcane;27.63;1204.36;15.99;3.33;4;44.75;19.41;68.06;87.28;No Adaptation;1647.56
2018;Russia;Northwestern;Coffee;29.73;2920.8;21.37;2.871;5;25.57;3.06;5.79;87.84;Drought-resistant Crops;1181.58
2014;Australia;New South Wales;Corn;1.7;1529.37;29.94;2.259;6;18.83;24.05;21.44;31.74;Water Management;541.33
2020;Russia;Volga;Corn;4.76;519.75;27.63;0.9810000000000001;6;14.85;29.21;89.22;77.68;No Adaptation;111.48
2016;Russia;Volga;Rice;22.9;2330.91;20.24;2.358;9;36.97;16.84;63.92;93.01;Organic Farming;1016.43
2020;Nigeria;North West;Cotton;22.47;1858.05;27.72;2.763;3;75.16;7.14;72.32;40.14;Organic Farming;1243.61
2024;USA;Midwest;Cotton;10.52;809.93;29.79;3.1410000000000005;1;79.05;8.3;63.61;49.15;Organic Farming;347.98
2020;Nigeria;North Central;Sugarcane;26.4;1662.63;19.85;3.384;0;29.73;8.41;11.89;31.4;Crop Rotation;382.74
2024;Nigeria;South West;Vegetables;6.77;1379.1;25.99;747;2;39.35;7.58;60.44;60.08;Crop Rotation;109.72
2022;USA;Northeast;Wheat;24.94;2859.01;14.46;2.3;9;60.04;20.99;32.55;36.84;No Adaptation;642.42
2020;China;East;Corn;30.39;2409.77;13.35;2.05;6;30.51;18.98;9.18;75.8;Water Management;988.46
2020;Nigeria;North Central;Vegetables;2.79;816.76;2.07;1.92;6;32.9;30.6;70.96;31.51;No Adaptation;853.14
2016;China;South;Fruits;34.24;1433.51;7.19;2.92;3;98.25;49.0;28.29;94.12;Crop Rotation;1177.34
2022;Brazil;Southeast;Rice;19.64;1932.49;6.76;4.25;9;24.7;34.52;82.1;72.86;Organic Farming;644.69
2014;Australia;Western Australia;Soybeans;23.53;1430.97;20.06;3.4019999999999997;0;61.25;32.69;44.55;55.73;Organic Farming;379.34
2022;USA;Northeast;Soybeans;33.22;1728.88;28.88;2.115;1;64.2;35.62;20.34;35.8;No Adaptation;627.87
2018;Australia;Victoria;Coffee;19.92;2593.55;4.34;4.28;10;29.39;39.77;9.93;48.22;No Adaptation;1786.42
2022;Nigeria;North West;Wheat;29.75;2615.64;17.59;936;7;19.21;30.37;42.16;55.84;Water Management;326.57
2020;Nigeria;South West;Coffee;3.96;1451.61;27.46;1.4400000000000002;4;61.95;5.27;3.41;52.06;Water Management;355.48
2024;Australia;New South Wales;Soybeans;22.47;2261.66;10.48;3.36;4;44.44;24.45;14.41;38.23;No Adaptation;1644.78
2022;Russia;Volga;Cotton;23.34;974.87;1.02;3.4;6;50.3;29.54;82.94;79.66;No Adaptation;730.2
2020;USA;South;Sugarcane;11.13;1655.03;9.01;4.21;4;27.5;37.73;9.98;78.32;Water Management;1192.0
2016;China;Central;Vegetables;-0.11;2707.78;11.69;0.68;10;49.0;39.91;24.35;50.68;Drought-resistant Crops;225.33
2022;Nigeria;North West;Fruits;9.54;2534.93;10.37;2.04;1;22.66;7.14;97.65;42.11;No Adaptation;304.62
2014;Australia;Western Australia;Fruits;3.92;348.6;8.61;2.16;5;25.35;46.96;31.29;74.07;Drought-resistant Crops;264.76
