climate_change_impact_on_agriculture_2024;;;;;;;;;;
Year;Country;Region;Crop_Type;Average_Temperature_C;Total_Precipitation_mm;CO2_Emissions_MT;Crop_Yield_MT_per_HA;Extreme_Weather_Events;Irrigation_Access_%;Soil_Health_Index
2022;China;East;Corn;18.92;2323.13;Ara.74;Mar.49;6;36.0;37.53
2020;China;South;Barley;29.17;1647.43;Oca.22;2.Şub;4;56.96;90.27
2014;China;North;Corn;21.44;1456.54;Ağu.45;Şub.51;1;51.63;61.97
2020;Brazil;North;Vegetables;15.14;840.16;13.43;Şub.97;2;86.98;97.75
2022;Nigeria;South East;Cotton;22.34;2404.9;5.Tem;Oca.53;2;25.19;73.43
2018;Australia;Victoria;Cotton;14.39;1733.81;19.65;30.330.000.000.000.000;3;43.18;75.19
2014;China;South;Corn;Şub.57;221.89;17.Şub;11.880.000.000.000.000;6;95.06;98.59
2014;Brazil;Northeast;Corn;-1.76;605.38;26.Oca;927;0;53.61;41.55
2016;Nigeria;South West;Vegetables;Oca.78;1833.25;7.Kas;Oca.55;9;29.67;48.33
2014;Australia;Victoria;Barley;Kas.57;1229.03;Kas.38;4.May;1;95.29;69.87
2014;USA;Midwest;Coffee;25.93;2005.53;Kas.45;Şub.63;7;82.38;48.36
2018;China;North;Soybeans;33.32;2869.17;20.22;3.375;2;98.52;74.56
2020;Russia;Siberian;Soybeans;Eki.58;1862.59;Eki.77;Oca.68;2;99.26;99.0
2016;Australia;Western Australia;Vegetables;23.13;2697.95;28.55;1.278;0;39.82;71.22
2016;USA;South;Fruits;24.53;1213.66;19.May;1.602;3;13.Nis;45.83
2022;Russia;Volga;Barley;16.82;1591.74;29.0;3.204;5;26.Şub;36.75
2022;Russia;Volga;Rice;13.94;210.92;Oca.23;2.601;1;56.31;89.09
2016;China;South;Coffee;25.81;1795.56;Oca.22;Oca.19;9;88.08;69.47
2022;China;North;Cotton;32.88;1540.08;18.May;0.7200000000000001;1;40.79;58.89
2020;Australia;Victoria;Vegetables;Eyl.99;250.49;14.21;1.494;5;90.96;82.22
2020;China;South;Soybeans;Eki.69;2402.17;22.18;29.610.000.000.000.000;2;26.Tem;70.58
2022;Russia;Central;Fruits;13.85;1173.04;Eki.29;Şub.44;3;59.17;74.93
2016;Nigeria;South West;Corn;Şub.16;1325.87;22.Tem;1.809;2;37.5;36.75
2020;China;Central;Fruits;Haz.74;2882.32;6.Şub;Şub.44;7;38.93;42.18
2024;Russia;Central;Barley;31.82;1759.71;Ağu.16;2.Oca;5;58.86;75.72
2016;Russia;Central;Wheat;20.35;2202.2;17.Tem;783;1;64.9;88.21
2014;Russia;Volga;Sugarcane;9.Haz;2967.56;Şub.87;Şub.27;0;58.26;60.16
2014;Nigeria;South East;Sugarcane;30.85;1586.81;17.Tem;1.125;3;55.98;98.8
2020;USA;South;Barley;Ağu.62;2936.96;Eyl.65;0.66;0;49.96;82.8
2024;China;East;Coffee;0.15;657.2;Eki.25;Şub.15;1;78.47;50.69
2014;USA;Midwest;Barley;28.54;824.04;Haz.69;Şub.77;5;34.2;36.57
2024;Australia;Western Australia;Barley;16.26;964.35;24.91;2.034;10;75.19;31.55
2018;China;North;Wheat;22.Mar;340.65;19.15;3.222;7;67.74;53.63
2022;China;Central;Cotton;12.Ağu;1990.89;16.18;2.466;2;47.47;98.13
2022;Nigeria;North Central;Cotton;0.98;2047.94;Haz.45;Oca.17;10;55.99;50.04
2018;China;East;Corn;26.54;1847.23;6.Şub;0.96;6;90.49;45.3
2024;Russia;Northwestern;Wheat;-0.29;1464.47;28.58;1.035;1;94.69;42.51
2024;USA;South;Coffee;29.92;2613.78;Eyl.76;0.96;2;84.68;74.3
2020;Russia;Northwestern;Cotton;-0.96;1029.56;Haz.23;0.71;9;18.Mar;33.98
2020;China;Central;Sugarcane;27.63;1204.36;15.99;Mar.33;4;44.75;87.28
2018;Russia;Northwestern;Coffee;29.73;2920.8;21.37;2.871;5;25.57;87.84
2014;Australia;New South Wales;Corn;1.Tem;1529.37;29.94;2.259;6;18.83;31.74
2020;Russia;Volga;Corn;Nis.76;519.75;27.63;0.9810000000000001;6;14.85;77.68
2016;Russia;Volga;Rice;22.Eyl;2330.91;20.24;2.358;9;36.97;93.01
2020;Nigeria;North West;Cotton;22.47;1858.05;27.72;2.763;3;75.16;40.14
2024;USA;Midwest;Cotton;Eki.52;809.93;29.79;31.410.000.000.000.000;1;79.05;49.15
2020;Nigeria;North Central;Sugarcane;26.Nis;1662.63;19.85;3.384;0;29.73;31.4
2024;Nigeria;South West;Vegetables;Haz.77;1379.1;25.99;747;2;39.35;60.08
2022;USA;Northeast;Wheat;24.94;2859.01;14.46;2.Mar;9;60.04;36.84
2020;China;East;Corn;30.39;2409.77;13.35;2.May;6;30.51;75.8
2020;Nigeria;North Central;Vegetables;Şub.79;816.76;2.Tem;Oca.92;6;32.9;31.51
2016;China;South;Fruits;34.24;1433.51;Tem.19;Şub.92;3;98.25;94.12
2022;Brazil;Southeast;Rice;19.64;1932.49;Haz.76;Nis.25;9;24.Tem;72.86
2014;Australia;Western Australia;Soybeans;23.53;1430.97;20.Haz;34.019.999.999.999.900;0;61.25;55.73
2022;USA;Northeast;Soybeans;33.22;1728.88;28.88;2.115;1;64.2;35.8
2018;Australia;Victoria;Coffee;19.92;2593.55;Nis.34;Nis.28;10;29.39;48.22
2022;Nigeria;North West;Wheat;29.75;2615.64;17.59;936;7;19.21;55.84
2020;Nigeria;South West;Coffee;Mar.96;1451.61;27.46;14.400.000.000.000.000;4;61.95;52.06
2024;Australia;New South Wales;Soybeans;22.47;2261.66;Eki.48;Mar.36;4;44.44;38.23
2022;Russia;Volga;Cotton;23.34;974.87;1.Şub;3.Nis;6;50.3;79.66
2020;USA;South;Sugarcane;Kas.13;1655.03;9.Oca;Nis.21;4;27.May;78.32
2016;China;Central;Vegetables;-0.11;2707.78;Kas.69;0.68;10;49.0;50.68
2022;Nigeria;North West;Fruits;Eyl.54;2534.93;Eki.37;2.Nis;1;22.66;42.11
2014;Australia;Western Australia;Fruits;Mar.92;348.6;Ağu.61;Şub.16;5;25.35;74.07
2016;China;Central;Soybeans;24.82;2327.73;18.26;2.115;6;85.58;51.7
2024;Nigeria;South East;Barley;17.13;1066.37;17.Oca;3.411;4;13.23;62.33
2022;Australia;Victoria;Barley;Haz.66;2314.03;18.86;1.449;6;79.25;42.49
2018;USA;West;Cotton;31.92;1694.55;25.29;19.620.000.000.000.000;1;77.56;93.76
2024;Brazil;Northeast;Cotton;31.93;374.67;5.Ara;2.259;8;58.86;31.97
2024;Australia;Western Australia;Cotton;-3.31;1560.5;Haz.98;Oca.45;2;69.08;40.99
2016;China;Central;Rice;9.Haz;2159.12;2.Mar;Şub.71;9;88.06;32.32
2014;USA;South;Cotton;24.17;829.01;Nis.72;Oca.21;0;56.37;40.02
2018;Australia;Western Australia;Cotton;33.54;2429.78;28.75;1.161;4;19.24;66.14
2024;Brazil;Northeast;Vegetables;18.66;2056.69;22.62;36.630.000.000.000.000;5;97.5;99.86
2020;Brazil;South;Wheat;Eki.27;1782.92;27.Tem;3.825;0;62.88;30.Nis
2022;China;Central;Wheat;12.Tem;1689.04;27.15;2.538;8;78.66;62.41
2014;Australia;Queensland;Fruits;21.53;396.7;26.97;33.480.000.000.000.000;3;95.32;66.2
2024;Russia;Volga;Rice;21.32;1591.81;19.16;Oca.26;0;71.04;45.34
2018;Russia;Central;Coffee;18.74;1513.0;Eki.85;4.Eyl;3;73.57;83.95
2018;China;East;Cotton;27.45;1996.13;20.55;29.160.000.000.000.000;4;40.77;79.77
2018;Brazil;Northeast;Fruits;14.79;2613.62;26.29;2.196;8;75.7;98.49
2018;Russia;Siberian;Cotton;22.48;2899.26;14.28;0.87;0;28.79;61.37
2024;Russia;Central;Barley;33.41;2135.98;17.67;2.493;2;30.74;43.2
2016;Australia;Victoria;Sugarcane;Eyl.45;2094.43;14.61;Oca.14;6;68.33;58.12
2014;Australia;Queensland;Rice;0.45;1721.56;May.78;1.May;0;13.47;92.52
2018;Australia;Queensland;Sugarcane;33.04;364.49;20.May;765;7;46.14;88.18
2014;USA;West;Wheat;Ağu.97;1588.99;Şub.64;Oca.94;3;47.19;60.88
2020;Nigeria;North Central;Vegetables;19.Ağu;2321.02;13.Tem;3.Şub;9;65.03;65.83
2020;China;South;Cotton;29.82;2690.69;27.16;2.871;1;18.93;30.64
2022;USA;South;Coffee;Nis.17;2488.56;14.72;Şub.51;2;84.9;37.2
2020;Brazil;Northeast;Cotton;-4.4;2744.13;17.37;0.9450000000000001;0;24.21;52.4
2020;China;South;Cotton;Kas.26;955.41;26.Eyl;39.600.000.000.000.000;2;73.5;39.7
2020;Australia;Queensland;Vegetables;Eyl.71;272.15;26.21;1.053;4;28.84;44.21
2018;Brazil;South;Rice;Mar.15;584.39;26.Tem;1.845;7;15.86;39.79
2024;USA;Northeast;Rice;27.46;1169.7;29.39;14.669.999.999.999.900;3;61.35;93.39
2022;Brazil;North;Cotton;Oca.46;2488.69;1.May;Oca.33;3;78.97;88.91
2018;Australia;Queensland;Vegetables;30.31;2245.84;Haz.86;0.86;9;63.97;46.86
2020;USA;Midwest;Vegetables;Mar.27;1595.53;Eyl.34;Şub.26;9;69.6;30.33
2018;Brazil;North;Wheat;34.84;320.88;18.75;3.483;10;50.49;72.3
2018;Russia;Central;Coffee;28.89;1578.24;16.Oca;765;6;86.16;52.52
2024;Brazil;South;Cotton;16.Nis;731.59;Tem.35;4.Ara;5;53.5;75.45
2020;USA;Northeast;Wheat;33.7;1332.34;Tem.64;Oca.19;5;29.Ağu;57.57
2016;China;East;Wheat;Ağu.94;1988.73;25.92;1.341;5;98.54;77.63
2018;China;North;Corn;May.65;1431.49;22.76;0.8190000000000001;7;94.1;89.5
2024;Australia;New South Wales;Fruits;19.Kas;1421.68;18.94;35.370.000.000.000.000;3;75.64;78.57
2024;Russia;Central;Coffee;Eyl.83;2364.11;25.25;1.566;5;92.86;98.12
2014;China;East;Barley;20.64;2141.7;28.Ağu;3.132;5;18.43;69.78
2022;USA;Midwest;Sugarcane;-4.14;2380.88;Ara.94;Oca.66;0;28.93;32.23
2020;Nigeria;South East;Wheat;22.63;748.11;16.39;1.683;8;50.25;89.43
2014;Brazil;Southeast;Corn;28.46;1281.74;1.Ara;Oca.58;4;57.34;80.24
2024;Brazil;North;Cotton;Kas.94;344.09;21.56;1.395;0;Eki.71;45.63
2016;Australia;New South Wales;Cotton;15.95;1127.5;Mar.17;Mar.22;9;44.28;89.2
2022;USA;Northeast;Barley;-0.16;2429.07;29.Ağu;1.125;1;10.Ara;44.31
2018;Brazil;South;Cotton;7.Mar;2848.8;28.58;2.358;6;72.77;66.96
2024;Nigeria;South East;Soybeans;-0.38;2350.41;24.58;2.178;7;66.02;97.32
2014;USA;West;Corn;Eki.94;1439.58;26.Haz;1.935;4;58.01;79.03
2020;China;North;Sugarcane;30.22;1330.95;18.86;0.9;1;54.23;89.49
2018;China;Central;Rice;Kas.54;2884.58;25.65;2.394;0;20.92;57.66
2020;Australia;Queensland;Fruits;0.93;2603.79;Eki.46;1.Oca;9;90.75;97.85
2020;USA;West;Sugarcane;29.64;1504.88;29.46;2.529;2;13.46;69.0
2022;Nigeria;South East;Rice;-1.0;1834.79;14.96;0.53;10;88.28;74.25
2024;Australia;Victoria;Cotton;32.89;870.49;29.32;19.620.000.000.000.000;6;22.22;78.66
2022;China;North;Cotton;Mar.47;763.79;11.Haz;1.Ağu;2;21.77;45.95
2024;Russia;Volga;Sugarcane;17.28;1876.84;24.39;2.538;9;29.26;94.56
2024;Australia;New South Wales;Soybeans;28.43;604.4;24.Eyl;864;3;43.36;56.35
2014;USA;South;Barley;-0.56;910.32;17.Haz;1.593;7;82.02;56.08
2016;China;South;Barley;28.Ağu;1960.38;Ara.83;Şub.42;4;41.08;64.31
2020;Australia;New South Wales;Soybeans;34.14;1696.94;Eki.68;Mar.83;2;60.1;55.02
2024;Australia;Victoria;Cotton;1.Şub;782.84;23.38;1.773;5;46.78;97.1
2014;Brazil;South;Fruits;Haz.56;2451.44;Mar.87;2.0;6;26.33;61.32
2016;USA;Midwest;Rice;14.16;2976.15;16.61;3.204;4;87.72;71.71
2018;Australia;Victoria;Vegetables;25.22;2824.28;9.Ağu;0.9;1;29.61;41.63
2022;Russia;Siberian;Soybeans;1.Oca;1750.19;Oca.73;Oca.32;10;83.6;55.61
2014;USA;West;Corn;31.04;2440.29;27.54;2.511;9;57.43;64.29
2024;Brazil;Southeast;Sugarcane;16.49;230.35;Eki.54;21.510.000.000.000.000;0;39.56;40.63
2018;Russia;Volga;Corn;32.93;2920.8;6.Oca;Mar.33;5;Ara.31;73.31
2024;Brazil;North;Soybeans;29.68;1142.36;Ara.95;Mar.76;1;96.21;41.17
2020;Australia;New South Wales;Sugarcane;13.19;1075.5;13.Şub;2.Ağu;4;27.58;86.09
2014;Russia;Siberian;Sugarcane;Eyl.45;2824.79;Mar.47;Oca.78;3;89.44;53.44
2020;USA;Northeast;Barley;26.61;1469.19;19.82;2.124;8;76.32;97.6
2014;USA;West;Vegetables;-1.11;1693.36;0.81;0.57;9;40.65;53.51
2018;USA;South;Coffee;Ara.57;2624.98;18.54;4.167;6;83.19;91.69
2020;Australia;New South Wales;Corn;4.Şub;2014.34;27.31;Şub.61;4;44.4;47.41
2018;Australia;Queensland;Rice;1.Ağu;1881.28;28.31;1.863;9;66.69;93.65
2014;Russia;Siberian;Rice;20.54;2467.88;21.92;3.042;5;58.66;66.65
2018;USA;Northeast;Rice;14.Mar;2323.3;May.44;Nis.28;1;85.88;81.21
2022;China;South;Coffee;0.52;335.25;13.46;2.178;0;Kas.79;64.61
2020;USA;Northeast;Cotton;26.96;1679.2;May.14;Şub.65;5;84.84;92.48
2022;Brazil;Northeast;Cotton;32.49;1859.75;28.Mar;28.800.000.000.000.000;5;75.18;60.01
2020;Nigeria;South East;Rice;23.64;1892.69;Ağu.43;Mar.56;8;73.05;35.52
2016;Nigeria;North Central;Corn;31.9;1197.21;Ara.93;3.Haz;9;16.Nis;39.49
2018;Australia;Queensland;Fruits;13.Ara;1538.19;16.76;22.769.999.999.999.900;5;39.34;37.01
2016;Russia;Siberian;Soybeans;18.14;1858.13;10.Mar;Nis.76;3;89.75;59.3
2020;Brazil;Northeast;Vegetables;27.78;708.79;21.69;24.120.000.000.000.000;0;25.94;48.73
2016;USA;Northeast;Corn;33.59;1069.59;Mar.32;Mar.77;3;75.75;61.48
2024;USA;West;Barley;-0.66;2376.99;20.52;22.230.000.000.000.000;1;90.56;93.07
2020;USA;Northeast;Barley;-4.56;2907.56;13.May;Oca.46;7;89.73;37.72
2022;Nigeria;South East;Barley;26.52;643.44;24.48;1.269;0;61.75;59.31
2022;Australia;Victoria;Corn;21.23;1546.03;Şub.18;Şub.93;3;43.77;77.63
2018;Russia;Northwestern;Cotton;16.31;1763.49;6.Ara;2.0;2;63.39;43.24
2016;USA;West;Corn;Mar.88;1951.14;10.0;Oca.44;10;32.87;44.83
2024;Brazil;Northeast;Barley;27.41;396.84;18.45;3.159;0;64.28;79.72
2024;Brazil;North;Sugarcane;7.Şub;2217.62;3.Nis;Oca.35;9;39.63;84.33
2024;Russia;Central;Fruits;-1.98;1643.83;19.78;0.8190000000000001;1;80.06;59.5
2022;Brazil;North;Fruits;Ara.88;1304.68;21.67;2.421;5;72.06;55.81
2014;USA;West;Wheat;25.19;688.64;21.34;31.410.000.000.000.000;1;44.68;87.48
2018;Australia;New South Wales;Corn;Nis.32;554.33;23.47;2.556;0;91.52;65.89
2014;Australia;New South Wales;Soybeans;26.56;1870.65;Eki.49;1.Mar;2;15.95;94.42
2018;China;South;Wheat;20.Haz;1202.44;26.94;3.339;2;42.68;55.37
2020;Brazil;Southeast;Wheat;-1.08;2056.02;29.65;2.682;6;15.39;38.27
2024;Australia;New South Wales;Corn;16.21;2428.05;19.43;24.120.000.000.000.000;1;54.9;59.73
2014;Brazil;Northeast;Wheat;-4.94;2072.54;Tem.58;1.Eyl;4;57.31;45.75
2018;China;East;Coffee;Ağu.53;2434.59;17.65;1.035;0;99.7;48.78
2024;Nigeria;South West;Coffee;-1.43;2390.42;16.52;675;3;73.3;97.52
2024;USA;Midwest;Barley;26.66;898.57;16.Ağu;2.898;7;74.5;70.86
2014;Nigeria;North West;Sugarcane;-0.68;1270.58;7.Eyl;Şub.93;1;Eki.82;37.58
2022;Australia;New South Wales;Wheat;Eyl.96;1091.31;18.92;774;9;32.36;33.39
2022;Australia;Western Australia;Rice;14.93;2953.54;Mar.66;2.Kas;2;92.94;65.31
2014;Russia;Siberian;Wheat;17.85;2377.78;13.0;Mar.44;9;32.25;94.87
2014;Russia;Siberian;Corn;-3.44;1528.69;15.Ağu;783;3;59.09;88.99
2020;Russia;Siberian;Coffee;Ara.38;596.13;27.64;19.620.000.000.000.000;7;94.44;71.73
2014;USA;West;Cotton;Mar.45;617.32;20.53;2.097;1;95.6;96.98
2020;Brazil;North;Soybeans;23.28;2170.17;23.52;22.230.000.000.000.000;0;62.77;80.96
2020;Australia;New South Wales;Rice;Mar.33;2823.76;Ağu.24;Oca.92;9;48.61;95.39
2016;Nigeria;South East;Vegetables;20.89;1710.17;14.74;Mar.78;7;Kas.55;80.75
2018;Russia;Northwestern;Corn;32.04;1742.68;13.87;Mar.94;6;63.46;43.6
2022;USA;Midwest;Vegetables;18.92;740.66;16.Nis;2.475;4;27.51;62.97
2016;Brazil;Northeast;Corn;-2.75;2838.43;13.91;1.Eyl;3;47.04;48.99
2014;Australia;Queensland;Vegetables;17.44;304.0;19.73;37.710.000.000.000.000;9;22.97;67.8
2018;USA;Northeast;Sugarcane;30.86;1723.81;23.63;1.341;8;55.61;30.Nis
2022;Nigeria;South West;Sugarcane;19.59;2514.47;Eki.47;4.Ağu;0;44.06;91.73
2016;Nigeria;South West;Soybeans;24.52;971.38;25.32;1.602;5;88.79;34.75
2018;USA;West;Coffee;Şub.67;489.64;28.Nis;2.034;3;74.25;82.23
2016;Brazil;Southeast;Coffee;-2.34;1062.84;14.94;Şub.19;6;91.15;64.6
2024;China;South;Coffee;28.Oca;2720.88;Kas.76;Mar.72;9;92.86;94.67
2014;Nigeria;North West;Vegetables;29.84;1125.87;25.Eyl;3.384;7;26.Oca;92.74
2016;Nigeria;North Central;Vegetables;27.66;940.42;Ağu.86;2.May;10;60.67;89.87
2024;Russia;Siberian;Soybeans;-2.01;268.86;Oca.24;1.584;8;30.97;36.17
2024;Nigeria;North West;Rice;0.7;472.59;Kas.18;2.205;2;62.78;98.47
2024;Russia;Volga;Coffee;-4.51;1755.87;Nis.65;Oca.47;6;66.46;92.23
2016;Nigeria;North West;Cotton;Mar.55;228.6;Eki.36;2.457;4;25.52;87.96
2016;Australia;New South Wales;Barley;-0.98;1148.11;25.Tem;864;1;67.17;49.0
2022;Australia;New South Wales;Rice;-2.88;1431.14;18.Oca;1.431;0;98.49;72.1
2020;Australia;Victoria;Cotton;16.47;2884.25;26.14;23.400.000.000.000.000;9;95.12;98.91
2020;Russia;Central;Wheat;Haz.87;862.59;20.69;0.5040000000000001;9;77.21;98.62
2018;Australia;New South Wales;Barley;29.97;953.92;27.56;1.845;5;30.Nis;37.5
2016;Russia;Siberian;Corn;25.74;2239.72;14.77;1.Kas;0;31.58;92.0
2018;Brazil;South;Soybeans;Kas.29;1939.07;28.44;2.952;7;79.37;34.6
2020;Brazil;North;Coffee;9.Haz;285.16;24.93;2.583;0;20.69;34.06
2022;China;South;Fruits;22.39;2280.55;22.39;0.9450000000000001;1;93.29;39.24
2018;Brazil;North;Wheat;14.28;2994.39;18.Şub;14.580.000.000.000.000;4;72.3;66.42
2020;Russia;Northwestern;Rice;30.87;2880.95;22.Ağu;1.872;0;86.7;47.81
2014;Australia;Queensland;Cotton;May.32;1259.43;25.95;549;8;71.35;96.17
2018;Brazil;Southeast;Rice;16.64;797.11;13.85;Şub.97;4;47.82;58.31
2018;Nigeria;North West;Cotton;10.Mar;1795.86;29.Ağu;3.384;10;47.97;85.43
2024;Brazil;South;Coffee;-3.99;1537.1;Eki.85;0.72;8;93.0;64.58
2020;Brazil;Southeast;Vegetables;32.93;983.43;Haz.18;Şub.27;10;55.38;86.15
2014;Australia;New South Wales;Corn;17.Oca;836.33;13.24;3.Oca;6;50.79;38.87
2016;China;South;Barley;17.Eyl;1612.28;16.13;2.745;4;13.78;70.46
2016;Nigeria;North West;Rice;-3.21;2354.09;9.Nis;Oca.67;9;66.07;98.57
2022;Nigeria;North West;Sugarcane;24.Nis;1915.16;24.13;3.087;3;70.99;50.15
2014;Nigeria;South West;Corn;17.56;2646.14;Kas.55;4.Mar;4;31.52;88.84
2024;China;South;Corn;Kas.18;2871.25;15.95;2.367;4;21.79;82.93
2014;Australia;Western Australia;Wheat;13.47;2132.82;12.Eyl;2.Nis;10;53.37;85.47
2016;Brazil;South;Sugarcane;28.79;1722.96;Şub.61;Mar.89;7;85.81;36.86
2018;USA;Midwest;Fruits;Ara.39;1018.74;26.64;1.755;8;99.79;66.82
2020;China;South;Soybeans;Haz.71;2395.94;28.0;Şub.52;3;28.23;99.14
2022;China;South;Rice;14.72;2519.85;17.57;3.204;9;24.0;93.21
2020;Nigeria;North Central;Cotton;-3.18;1365.68;24.43;1.665;0;99.11;66.59
2016;Australia;Western Australia;Fruits;33.05;1909.78;20.36;2.367;10;30.2;66.58
2016;Nigeria;South East;Cotton;29.Tem;2491.86;Haz.26;Şub.73;1;51.77;55.8
2018;USA;Northeast;Cotton;27.28;1518.57;Ara.51;Mar.43;8;98.3;38.94
2014;Russia;Northwestern;Corn;27.76;1033.54;19.56;1.143;10;Eki.73;54.29
2024;Australia;Victoria;Coffee;14.33;1179.71;16.Oca;2.295;3;70.54;98.05
2022;Nigeria;South East;Corn;Ağu.69;697.11;12.Ara;Oca.92;4;34.57;68.41
2022;USA;South;Vegetables;-4.84;2878.56;3.Oca;Oca.92;6;51.2;46.41
2014;Australia;New South Wales;Vegetables;Ara.56;1065.76;Tem.35;Oca.51;9;59.13;74.74
2022;Australia;Queensland;Corn;11.Haz;1285.08;May.87;Nis.46;2;94.3;96.89
2022;China;Central;Rice;7.Ağu;977.07;19.65;1.539;7;63.15;61.35
2016;Nigeria;South West;Fruits;19.64;2806.55;11.Tem;Mar.72;10;Eki.97;60.34
2018;Russia;Siberian;Vegetables;9.Nis;1094.43;20.74;1.395;8;28.72;60.16
2024;Australia;Queensland;Sugarcane;16.88;2470.62;28.58;41.850.000.000.000.000;10;73.91;73.06
2020;USA;West;Corn;0.48;2394.76;16.Eyl;1.296;1;90.73;58.25
2020;China;North;Wheat;-0.99;696.4;29.Eyl;0.7020000000000001;9;Ara.81;33.01
2022;USA;Northeast;Fruits;17.35;244.4;11.Mar;16.740.000.000.000.000;8;82.57;30.61
2020;Nigeria;South West;Sugarcane;19.73;907.69;29.May;1.791;6;95.26;94.77
2024;Australia;Queensland;Cotton;33.56;1174.87;Haz.51;0.81;5;29.35;80.03
2022;China;Central;Cotton;32.39;1492.1;15.18;3.294;5;17.35;94.83
2016;Brazil;South;Corn;14.76;631.73;19.85;2.637;5;57.57;55.02
2022;China;East;Vegetables;23.38;2772.27;Eyl.77;3.Şub;9;47.24;90.0
2016;USA;South;Soybeans;17.84;1378.85;20.58;2.853;8;Ara.61;82.5
2018;China;North;Soybeans;32.46;837.56;1.Tem;0.86;3;87.34;31.May
2024;China;Central;Soybeans;-1.58;1080.12;May.63;Oca.61;8;49.41;83.77
2020;Russia;Volga;Barley;20.76;1670.58;Ağu.18;Şub.75;2;62.57;31.41
2024;Brazil;Northeast;Wheat;15.Haz;2099.42;22.36;17.009.999.999.999.900;0;88.51;65.31
2018;Australia;Victoria;Fruits;21.77;399.71;18.51;2.493;6;26.43;92.79
2022;Australia;Queensland;Coffee;-2.36;2257.09;8.Ağu;Oca.81;2;54.53;86.28
2014;Russia;Central;Wheat;34.63;1800.93;14.49;Mar.91;2;64.19;86.54
2016;Brazil;North;Wheat;26.22;268.1;Haz.47;34.379.999.999.999.900;1;39.36;85.02
2014;China;South;Soybeans;Tem.25;772.7;16.37;2.493;6;85.36;85.04
2014;China;East;Cotton;29.57;2871.61;29.41;1.512;2;18.56;65.2
2020;USA;Northeast;Rice;-0.02;1175.62;28.16;1.899;6;65.45;86.26
2016;Brazil;North;Wheat;1.Oca;1349.64;Şub.64;0.59;10;20.72;93.72
2020;USA;West;Corn;29.55;2463.41;Şub.43;Şub.94;9;52.76;90.83
2024;Australia;New South Wales;Sugarcane;30.48;1413.98;19.24;2.259;9;62.04;40.57
2024;China;South;Cotton;32.46;1339.27;13.36;Oca.16;5;76.19;95.7
2020;Russia;Northwestern;Sugarcane;May.96;468.59;24.24;23.129.999.999.999.900;1;56.87;49.73
2014;Australia;Western Australia;Coffee;19.47;1972.06;Ağu.63;Mar.51;9;65.27;73.98
2018;Russia;Northwestern;Fruits;23.21;2446.01;Eyl.55;Oca.71;10;91.04;34.31
2014;Nigeria;North West;Sugarcane;11.May;535.11;29.97;1.449;2;41.03;60.17
2024;Australia;New South Wales;Soybeans;Tem.18;1445.99;21.67;648;5;35.96;94.2
2016;Russia;Siberian;Barley;Ağu.89;1420.92;17.71;2.646;9;37.23;81.56
2016;Nigeria;South West;Fruits;-2.96;602.78;22.23;0.8280000000000001;4;81.13;68.89
2022;China;South;Soybeans;-3.35;1009.48;May.28;0.84;9;79.83;44.87
2018;China;South;Barley;Eki.62;1993.27;23.16;19.620.000.000.000.000;3;86.68;94.63
2018;USA;South;Fruits;20.94;2239.06;16.86;1.836;8;28.79;35.38
2016;China;North;Sugarcane;Eki.83;2769.14;11.Tem;Nis.45;2;31.16;86.13
2018;Nigeria;South West;Vegetables;28.Haz;1754.85;Ara.95;1.Nis;7;67.9;77.06
2022;USA;Midwest;Sugarcane;Oca.13;2695.88;Ara.28;1.Tem;9;96.51;94.66
2014;USA;Northeast;Sugarcane;-1.75;2438.63;3.Ağu;Oca.43;4;70.34;94.38
2016;Nigeria;North West;Vegetables;29.56;672.54;26.47;2.781;2;14.17;30.Haz
2016;China;North;Vegetables;Ara.31;2378.44;22.96;19.800.000.000.000.000;2;81.61;33.34
2024;Russia;Volga;Fruits;May.27;374.45;Oca.19;2.133;4;76.17;44.72
2024;Australia;Queensland;Rice;8.Şub;1609.77;26.Oca;12.240.000.000.000.000;2;96.17;53.16
2020;Australia;Western Australia;Sugarcane;18.35;2990.14;17.Ara;3.Haz;5;68.26;50.92
2016;China;Central;Rice;Kas.14;2275.55;29.Oca;3.654;5;13.46;60.68
2020;Nigeria;South East;Coffee;Ağu.91;1829.47;22.Mar;1.143;5;71.59;30.69
2014;Australia;Victoria;Vegetables;25.Ağu;735.43;15.36;19.800.000.000.000.000;10;37.74;36.99
2020;China;East;Barley;May.72;1381.47;26.98;1.098;2;89.66;94.3
2020;China;North;Sugarcane;Mar.74;2757.34;24.Tem;2.025;7;37.56;99.28
2024;USA;Northeast;Barley;May.21;554.49;17.Mar;14.669.999.999.999.900;4;88.16;93.33
2022;Nigeria;North Central;Corn;14.32;1339.62;21.Haz;4.437;3;53.12;55.85
2022;Nigeria;North Central;Coffee;-2.85;2297.04;Oca.37;Şub.16;5;77.76;74.34
2020;Nigeria;North Central;Sugarcane;18.Haz;237.57;23.62;4.482;2;38.15;70.53
2020;USA;South;Wheat;24.99;2154.38;15.91;774;10;24.Nis;42.67
2024;USA;Northeast;Fruits;11.Şub;2647.11;16.28;3.222;9;34.95;68.9
2016;Australia;New South Wales;Coffee;23.68;1573.76;16.14;1.665;2;69.41;56.84
2014;Australia;Western Australia;Barley;0.71;1917.96;Eki.82;0.75;5;73.0;68.04
2016;China;South;Fruits;Ara.74;536.52;Oca.92;Mar.99;1;64.12;80.03
